level_id,heuristic,success,nodes,runtime,solution_len
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#241,hungarian,True,29,0.013584375381469727,4
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#346,hungarian,True,1209,0.31194496154785156,10
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#247,hungarian,True,1183,0.44069790840148926,10
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#305,hungarian,True,2144,0.7192025184631348,15
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#385,hungarian,True,7088,1.0099055767059326,24
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#325,hungarian,True,7199,1.9011352062225342,23
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#440,hungarian,True,5734,1.3161253929138184,13
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#102,hungarian,True,4463,2.5474772453308105,10
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#114,hungarian,True,18669,3.0178258419036865,49
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#23,hungarian,True,29759,3.877509832382202,42
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#106,hungarian,True,27291,3.9880683422088623,23
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#328,hungarian,True,29903,4.332583904266357,30
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#24,hungarian,True,40892,4.8907458782196045,53
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#496,hungarian,True,3247,0.267437219619751,21
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#490,hungarian,True,31317,2.853732109069824,45
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#427,hungarian,True,35816,6.436244010925293,24
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#491,hungarian,True,31317,2.843204975128174,48
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#110,hungarian,True,60775,7.367574691772461,32
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#511,hungarian,True,7379,0.588463306427002,40
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#474,hungarian,True,47541,5.011889219284058,27
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#464,hungarian,True,59458,6.274601221084595,49
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#428,hungarian,True,64713,8.928483724594116,26
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#506,hungarian,True,29676,3.3432676792144775,47
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#514,hungarian,True,25416,2.5012950897216797,33
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#512,hungarian,True,31339,2.99678373336792,36
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#503,hungarian,True,33983,3.832862138748169,16
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#568,hungarian,True,36007,3.272183656692505,49
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#448,hungarian,True,85008,9.49100136756897,38
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#302,hungarian,True,112240,13.576125621795654,34
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#631,hungarian,True,187,0.014963865280151367,6
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#501,hungarian,True,93039,8.91228461265564,44
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#74,hungarian,True,12692,1.8110253810882568,24
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#82,hungarian,True,19845,2.8302369117736816,20
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#96,hungarian,True,312,0.025226354598999023,10
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#0,hungarian,True,67,0.0036411285400390625,8
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#1,hungarian,True,5,0.000591278076171875,3
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#597,hungarian,True,157526,16.39501142501831,37
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#129,hungarian,True,89391,10.609843254089355,36
sokoban_core/levels/letslogic/solved/0001_member_levels.txt#136,hungarian,True,355115,42.92797136306763,30
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#17,hungarian,True,157,0.0116729736328125,13
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#61,hungarian,True,25518,2.3426482677459717,30
sokoban_core/levels/letslogic/solved/0006_microban_01.txt#62,hungarian,True,555,0.039940595626831055,50
