level_id,heuristic,success,nodes,runtime,solution_len
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#331,gnn[speed+dl],True,49,0.08995509147644043,12
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#428,gnn[speed+dl],True,46365,27.50073504447937,26
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#447,gnn[speed+dl],True,10780,8.32935380935669,23
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#448,gnn[speed+dl],True,40288,20.104377508163452,38
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#462,gnn[speed+dl],True,6243,3.294389486312866,48
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#478,gnn[speed+dl],True,73707,35.21725678443909,60
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#480,gnn[speed+dl],True,137983,56.583285093307495,53
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#488,gnn[speed+dl],True,2661,1.2740907669067383,49
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#502,gnn[speed+dl],True,69845,36.98748517036438,49
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#518,gnn[speed+dl],True,18442,9.616413593292236,52
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#527,gnn[speed+dl],True,6327,2.7515695095062256,44
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#545,gnn[speed+dl],True,3767,1.622802972793579,43
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#555,gnn[speed+dl],True,9706,4.9408347606658936,37
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#577,gnn[speed+dl],True,4,0.0174715518951416,4
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#96,gnn[speed+dl],True,147,0.10408234596252441,10
sokoban_core/levels/letslogic_solved/0006_microban_01.txt#4,gnn[speed+dl],True,440,1.237999677658081,6
sokoban_core/levels/letslogic_solved/0010_boxxle_02.txt#73,gnn[speed+dl],True,11200,14.490142822265625,24
sokoban_core/levels/letslogic_solved/0011_v2009.txt#63,gnn[speed+dl],True,3511,2.129598379135132,26
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#425,gnn[speed+dl],False,919193,600.0028924942017,-1
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#416,gnn[speed+dl],False,649808,600.0013635158539,-1
sokoban_core/levels/letslogic_solved/0001_member_levels.txt#44,gnn[speed+dl],False,671869,600.0001437664032,-1
sokoban_core/levels/letslogic_solved/0039_novoban.txt#33,gnn[speed+dl],True,1120,0.640275239944458,27
sokoban_core/levels/letslogic_solved/0040_tbox_01.txt#41,gnn[speed+dl],True,3036,2.297863721847534,21
sokoban_core/levels/letslogic_solved/0019_sasquatch_07.txt#7,gnn[speed+dl],True,12649,18.94519305229187,12
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#74,gnn[speed+dl],True,31023,115.07559418678284,28
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#15,gnn[speed+dl],True,10367,12.163221836090088,14
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#21,gnn[speed+dl],True,3165,4.191991329193115,14
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#23,gnn[speed+dl],True,33663,22.778801918029785,26
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#3,gnn[speed+dl],True,75,0.08186841011047363,9
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#42,gnn[speed+dl],True,16327,8.781389951705933,28
sokoban_core/levels/letslogic_solved/0012_microban_02.txt#123,gnn[speed+dl],False,223027,600.0027673244476,-1
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#103,gnn[speed+dl],True,463436,255.07816338539124,48
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#59,gnn[speed+dl],True,45898,30.750428199768066,29
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#45,gnn[speed+dl],True,156720,211.314110994339,22
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#79,gnn[speed+dl],True,37563,14.595006942749023,32
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#76,gnn[speed+dl],True,508260,267.15571427345276,32
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#106,gnn[speed+dl],False,1259930,600.0025553703308,-1
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#96,gnn[speed+dl],True,82479,44.50356483459473,41
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#47,gnn[speed+dl],False,814556,600.0006206035614,-1
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#80,gnn[speed+dl],False,807238,600.0002162456512,-1
sokoban_core/levels/letslogic_solved/0043_sokevo.txt#83,gnn[speed+dl],False,844011,600.0016422271729,-1
sokoban_core/levels/letslogic_solved/0044_sokhard.txt#22,gnn[speed+dl],False,576304,600.0018584728241,-1
sokoban_core/levels/letslogic_solved/0044_sokhard.txt#37,gnn[speed+dl],True,583832,387.7976212501526,73
sokoban_core/levels/letslogic_solved/0044_sokhard.txt#33,gnn[speed+dl],False,1120825,600.0103831291199,-1
sokoban_core/levels/letslogic_solved/0044_sokhard.txt#54,gnn[speed+dl],False,721897,600.004317522049,-1
sokoban_core/levels/letslogic_solved/0048_mulholland_d.txt#6,gnn[speed+dl],True,44499,20.764217138290405,31
sokoban_core/levels/letslogic_solved/0061_bugs_collection.txt#86,gnn[speed+dl],True,5,0.013726949691772461,5
sokoban_core/levels/letslogic_solved/0062_dimitri_yorick.txt#18,gnn[speed+dl],True,86,0.07752370834350586,10
sokoban_core/levels/letslogic_solved/0062_dimitri_yorick.txt#36,gnn[speed+dl],True,67,0.04868817329406738,9
sokoban_core/levels/letslogic_solved/0062_dimitri_yorick.txt#50,gnn[speed+dl],True,495,0.3505403995513916,19
sokoban_core/levels/letslogic_solved/0062_dimitri_yorick.txt#59,gnn[speed+dl],True,199,0.11172723770141602,15
sokoban_core/levels/letslogic_solved/0062_dimitri_yorick.txt#8,gnn[speed+dl],True,12,0.023294687271118164,4
sokoban_core/levels/letslogic_solved/0069_atlas_01.txt#38,gnn[speed+dl],True,8652,6.049515962600708,18
sokoban_core/levels/letslogic_solved/0076_alberto.txt#11,gnn[speed+dl],True,34,0.12419772148132324,6
sokoban_core/levels/letslogic_solved/0089_microban_03.txt#48,gnn[speed+dl],True,201,0.2750129699707031,13
sokoban_core/levels/letslogic_solved/0044_sokhard.txt#68,gnn[speed+dl],False,720244,600.0000307559967,-1
sokoban_core/levels/letslogic_solved/0102_serg_belyaev_01.txt#16,gnn[speed+dl],True,169700,98.0906491279602,37
sokoban_core/levels/letslogic_solved/0102_serg_belyaev_01.txt#70,gnn[speed+dl],True,6447,3.805341958999634,32
sokoban_core/levels/letslogic_solved/0102_serg_belyaev_01.txt#19,gnn[speed+dl],True,159071,90.78301739692688,45
sokoban_core/levels/letslogic_solved/0106_revenge_01.txt#18,gnn[speed+dl],True,978,0.48085498809814453,33
sokoban_core/levels/letslogic_solved/0044_sokhard.txt#9,gnn[speed+dl],False,1021008,600.000862121582,-1
sokoban_core/levels/letslogic_solved/0106_revenge_01.txt#59,gnn[speed+dl],True,563,0.4509904384613037,28
sokoban_core/levels/letslogic_solved/0048_mulholland_d.txt#49,gnn[speed+dl],False,1242673,600.0000419616699,-1
sokoban_core/levels/letslogic_solved/0107_calx.txt#13,gnn[speed+dl],True,24995,19.284013271331787,35
sokoban_core/levels/letslogic_solved/0106_revenge_01.txt#15,gnn[speed+dl],False,769851,600.0000109672546,-1
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#1,gnn[speed+dl],True,7335,6.106745004653931,37
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#101,gnn[speed+dl],True,1400,1.0113940238952637,22
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#22,gnn[speed+dl],True,23632,14.796912431716919,33
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#44,gnn[speed+dl],True,1707,1.2493007183074951,25
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#58,gnn[speed+dl],True,6978,5.2326226234436035,24
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#74,gnn[speed+dl],True,20624,12.02526330947876,23
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#75,gnn[speed+dl],True,5035,4.09016227722168,23
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#8,gnn[speed+dl],True,19235,11.334285736083984,33
sokoban_core/levels/letslogic_solved/0110_revenge_03.txt#80,gnn[speed+dl],True,92,0.12015604972839355,23
sokoban_core/levels/letslogic_solved/0106_revenge_01.txt#21,gnn[speed+dl],False,591665,600.0000381469727,-1
